2010,P0000,P01001,4450,911200,Transferencias corrientes del Gobierno de Navarra,12480701
2010,04000,020000,2020,921400,Arrendamientos de edificios y otras construcciones,44231
2010,04000,020000,2160,921400,Reparación y mantenimiento de equipos y programas informáticos,21059
2010,04000,020000,2200,921400,Material de oficina,20907
2010,04000,020000,2202,921400,"Prensa, revistas, libros y otras publicaciones",6469
2010,04000,020000,2219,921400,Material para equipos de control de presencia,2109
2010,04000,020000,2250,921400,Contribuciones y tasas,582
2010,04000,020000,2264,921400,Gastos de comunidad,1938
2010,04000,020000,2269,921300,Gastos de mantenimiento de locales,11082
2010,04000,020000,2269,921400,Gastos diversos,6894
2010,04000,020000,2271,921400,Servicios de limpieza y aseo,13386
2010,04000,020000,2273,921400,Servicios informáticos,118687
2010,04000,020000,2279,921400,Otros trabajos realizados por terceros,3977
2010,04000,020000,2280,921400,"Energía eléctrica, agua y gas",5424
2010,04000,020000,2284,921400,Material de limpieza y aseo,200
2010,04000,020000,2300,921400,Dietas,1000
2010,04000,020000,2301,921400,Locomoción y gastos de viaje,1500
2010,04000,020000,4809,921400,Indemnizaciones por responsabilidad patrimonial,100
2010,04000,020000,4819,921300,Subvenciones a organizaciones sindicales,54116
2010,04000,020000,4819,921302,Subvenciones para gastos de funcionamiento,37747
2010,04000,020000,6021,921400,Obras de adecuación y mejora de instalaciones,6000
2010,04000,020000,6031,921400,Instalaciones,100
2010,04000,020000,6050,921400,Mobiliario y equipos de oficina,5000
2010,04000,020000,6059,921400,Otro mobiliario y equipo,1200
2010,04000,020000,6060,921400,Equipos para procesos de información,12000
2010,04000,020000,6090,469100,Sistemas de información,127725
2010,04320,020001,1230,313900,Retribuciones totales fijas de funcionarios,566324
2010,04320,020001,1231,313900,Retribuciones del personal estatutario de la Seguridad Social,47350
2010,04320,020001,2020,313900,Arrendamientos de edificios y otras construcciones,62108
2010,04320,020001,2120,313900,"Reparación, mantenimiento y conservación de edificios y otras construcciones",1000
2010,04320,020001,2190,313900,Reparación y mantenimiento de otros bienes muebles,1000
2010,04320,020001,2200,313900,Material de oficina,1500
2010,04320,020001,2202,313900,"Prensa, revistas, libros y otras publicaciones",600
2010,04320,020001,2214,313900,Instrumental y pequeño utillaje,600
2010,04320,020001,2215,313900,Fármacos,2500
2010,04320,020001,2216,313900,Material sanitario de consumo,1515
2010,04320,020001,2217,313900,Ropería sanitaria,500
2010,04320,020001,2266,313900,Actividades de formación,2000
2010,04320,020001,2269,313900,Otros gastos diversos,1313
2010,04320,020001,2270,313900,Lavandería,1100
2010,04320,020001,2271,313900,Servicios de limpieza y aseo,19780
2010,04320,020001,2279,313900,Otros trabajos realizados por terceros,8200
2010,04320,020001,2280,313900,"Energía eléctrica, agua y gas",4700
2010,04320,020001,2284,313900,Material de limpieza y aseo,300
2010,04320,020001,2300,313900,Dietas,300
2010,04320,020001,2301,313900,Locomoción y gastos de viaje,1500
2010,04320,020001,2400,313900,Gastos de edición de libros y publicaciones,1200
2010,04320,020001,6021,313900,Obras de adecuación y mejora de instalaciones,3000
2010,04320,020001,6057,313900,Equipos médicos,3000
2010,04100,020002,1001,921400,"Prestaciones a ex-presidentes, ex-consejeros y otros altos cargos del Gobierno de Navarra",150000
2010,04100,020002,1239,921400,"Ayuda familiar, nuevos complementos, reingresos de excedencias y otros del personal funcionario",300000
2010,04100,020002,1309,921400,Indemnizaciones por finalización de contratos temporales,5000
2010,04100,020002,1309,921402,"Ayuda familiar, nuevos complementos, reingresos de excedencias y otros del personal laboral",5000
2010,04100,020002,1310,921400,Retribuciones del personal contratado temporal,2539217
2010,04100,020002,1312,921400,Retribuciones del personal contratado para sustituciones,2327419
2010,04100,020002,1313,921400,Retribuciones del personal contratado para cubrir vacantes,1
2010,04100,020002,1600,921400,Diferencia de cotizaciones en seguridad social para vacantes,200000
2010,04100,020002,1600,921402,Regularización convenio Seguridad Social,4612378
2010,04100,020002,1620,224100,Abonos de primas de pólizas de seguros,2584900
2010,04100,020002,1620,921400,Fondo para la aplicación de acuerdos en materia de personal,2100000
2010,04100,020002,1709,921402,Ejecución de sentencias,100000
2010,04100,020002,1709,921403,Indemnizaciones por accidentes laborales,5000
2010,04100,020002,2330,921400,Gratificaciones a tribunales de oposición,100
2010,04100,020002,2339,224100,Gastos de renovación de los carnés de conducir y de los permisos de armas,100
2010,04100,020002,8318,921400,Anticipos de sueldo para el personal fijo de la Admon de la Comunidad Foral y sus organismos autónomos,759000
2010,04300,020002,1610,211100,Pensiones ordinarias de funcionarios,60400000
2010,04300,020002,1612,211100,Pensiones excepcionales,90000
2010,04300,020002,1614,211100,Indemnizaciones por jubilaciones anticipadas,90000
2010,04300,020002,1620,224100,Asistencia sanitaria. Uso especial,9682000
2010,04310,020002,4609,942300,Transferencias a entes locales del Montepío General para su financiación,6400387
2010,04310,020002,4609,942302,"Transferencias a los Ayuntamientos de Pamplona, Tafalla y Tudela",5634123
2010,04310,020002,8206,942300,Gestión del Montepío de funcionarios municipales,13562337
2010,03000,040000,1000,921300,Retribuciones de altos cargos,60112
2010,03000,040000,1230,921300,Retribuciones totales fijas de funcionarios,411602
2010,03000,040000,1310,921300,Retribuciones del personal contratado temporal,182071
2010,03000,040000,1312,921300,Retribuciones del personal contratado para sustituciones,29313
2010,03000,040000,1313,921300,Retribuciones del personal contratado para cubrir vacantes,1
2010,03000,040000,1600,921300,Seguridad social,309582
2010,03000,040000,1702,921300,Horas extraordinarias,5000
2010,03000,040000,1703,921300,Remuneración por trabajo en días festivos,1500
2010,03000,040000,1705,921300,Complemento por trabajo en turnos de noche,3000
2010,03000,040000,2061,921300,Arrendamiento de programas y licencias,6000
2010,03000,040000,2120,921300,"Reparación, mantenimiento y conservación de edificios y otras construcciones",10000
2010,03000,040000,2160,921300,"Reparación y mantenimiento de equipos, programas informáticos y telecomunicaciones",9000
2010,03000,040000,2190,921300,Reparación y conservación de otros bienes muebles,8000
2010,03000,040000,2200,921300,Material de oficina,6000
2010,03000,040000,2202,921300,"Prensa, revistas, libros y otras publicaciones",3000
2010,03000,040000,2219,921300,Otros suministros especiales,600
2010,03000,040000,2220,921300,"Comunicaciones telefónicas, postales y telegráficas",11125
2010,03000,040000,2230,921300,Gastos de transportes,1000
2010,03000,040000,2261,921300,Atenciones protocolarias y representativas,2000
2010,03000,040000,2262,921300,Publicidad y actividades divulgativas,100
2010,03000,040000,2266,921300,"Reuniones, conferencias y cursillos",1000
2010,03000,040000,2271,921300,Servicio de limpieza y aseo,78500
2010,03000,040000,2273,921300,Servicios informáticos,54381
2010,03000,040000,2276,921300,Estudios y trabajos técnicos,21100
2010,03000,040000,2279,921300,Organización de congresos y cursos,9000
2010,03000,040000,2280,921300,"Energía eléctrica, agua y gas",24000
2010,03000,040000,2284,921300,Material de limpieza y aseo,1800
2010,03000,040000,2289,921300,Otros suministros auxiliares,1800
2010,03000,040000,2300,921300,Dietas,900
2010,03000,040000,2301,921300,Locomoción y gastos de viaje,3000
2010,03000,040000,2330,921300,Indemnizaciones por trabajos realizados,100
2010,03000,040000,2400,921300,Gastos de edición de libros y publicaciones,30000
2010,03000,040000,4809,921300,Ayudas y premios a estudios e investigación,21000
2010,03000,040000,4809,921302,Indemnizaciones por responsabilidad patrimonial,100
2010,03000,040000,4819,921300,Convenio de colaboración con la escuela de práctica jurídica Estanislao Aranzadi,19000
2010,03000,040000,6020,921300,Edificios y otras construcciones,10000
2010,03000,040000,6050,921300,Mobiliario y equipos de oficina,4000
2010,03000,040000,6059,921300,Otro mobiliario y equipo,3000
2010,03000,040000,6060,921300,Equipos para procesos de información,9000
2010,03000,040000,6081,921300,Adquisición de fondos editoriales,1800
2010,03000,040000,6090,469100,Sistemas de información,50000
2010,03000,040000,6091,921300,Proyectos técnicos,100
2010,03000,040000,6092,921300,"Estudios, informes y otros",9000
2010,03200,040001,1230,921300,Retribuciones totales fijas de funcionarios,195700
2010,03200,040001,2276,921300,Estudios y trabajos técnicos,1200
2010,03200,040001,2276,921302,Programa de evaluación de la calidad de servicios públicos,9000
2010,03200,040001,2279,921300,Organización de congresos y cursos,9000
2010,03200,040001,2400,921300,Gastos de edición de libros y publicaciones,900
2010,03200,040001,4809,921300,Ayudas y premios a estudios e investigación,100
2010,03200,040001,6092,921300,"Estudios, informes y otros",40000
2010,03100,040002,1230,921300,Retribuciones totales fijas de funcionarios,372867
2010,03100,040002,2269,921300,Coparticipación en programas de formación,3000
2010,03100,040002,2276,921300,Cursos de formación continua (INAP estatal),100
2010,03100,040002,2279,921300,Organización de cursos,250000
2010,03100,040002,2279,921302,Organización de cursos on line,80000
2010,03300,040003,1230,921300,Retribuciones totales fijas de funcionarios,377943
2010,03300,040003,2120,921300,"Reparación, mantenimiento y conservación de edificios y otras construcciones",16000
2010,03300,040003,2160,921300,Reparación y mantenimiento de equipos y programas informáticos,400
2010,03300,040003,2190,921300,Reparación y mantenimiento de otros bienes muebles,6000
2010,03300,040003,2200,921300,Material de oficina,5000
2010,03300,040003,2202,921300,"Prensa, revistas, libros y otras publicaciones",2500
2010,03300,040003,2261,921300,Atenciones protocolarias y representativas,500
2010,03300,040003,2266,921300,"Reuniones, conferencias y cursillos",900
2010,03300,040003,2271,921300,Servicios de limpieza y aseo,54000
2010,03300,040003,2274,921300,Servicios de seguridad,38207
2010,03300,040003,2276,921300,Cursos de formación continua (INAP estatal),100
2010,03300,040003,2276,921302,Estudios y trabajos técnicos,1000
2010,03300,040003,2279,921300,Organización de cursos,470000
2010,03300,040003,2280,921300,"Energía eléctrica, agua y gas",18000
2010,03300,040003,2281,921300,"Combustible, lubricantes y calefacción",9000
2010,03300,040003,2284,921300,Material de limpieza y aseo,1800
2010,03300,040003,2289,921300,Otros suministros auxiliares,2500
2010,03300,040003,2300,921300,Dietas,600
2010,03300,040003,2301,921300,Locomoción y gastos de viaje,1200
2010,03300,040003,2301,921302,Locomoción y gastos de viaje de profesores y alumnos,1
2010,03300,040003,2339,921300,Otras indemnizaciones,1000
2010,03300,040003,2400,921300,Gastos de edición de libros y publicaciones,500
2010,03300,040003,6020,921300,Edificios y otras construcciones,3000
2010,03300,040003,6050,921300,Mobiliario y equipo de oficina,900
2010,03300,040003,6060,921300,Equipos para procesos de información,9000
2010,03400,040004,1230,921300,Retribuciones totales fijas de funcionarios,293836
2010,03400,040004,2262,921300,Publicidad y actividades divulgativas,900
2010,03400,040004,2269,921300,Plan de formación del vascuence en las administraciones públicas de Navarra,18000
2010,03400,040004,2269,921302,Coparticipación en programas de formación,100
2010,03400,040004,2269,921303,Coparticipación en proyectos europeos,13000
2010,03400,040004,2276,921300,Cursos de formación continua (INAP estatal),100
2010,03400,040004,2279,921300,Organización de cursos,100000
2010,03400,040004,2279,921302,Colaboración en la acreditación de conocimientos,9000
2010,03500,040005,1230,921300,Retribuciones totales fijas de funcionarios,657781
2010,03500,040005,2267,921300,Gastos diversos para la realización de pruebas. Tribunales,12000
2010,03500,040005,2276,921300,Estudios y trabajos técnicos,18000
2010,03500,040005,2301,921300,Locomoción y gastos de viajes,4000
2010,03500,040005,2330,921300,Gratificaciones a tribunales de oposición,50000
2010,03500,040005,2330,921302,Indemnizaciones por trabajos realizados,26000
2010,03500,040005,6090,469100,Sistemas de Información,3000
2010,02000,050000,1000,131100,Retribuciones de altos cargos,60112
2010,02000,050000,1230,131100,Retribuciones totales fijas de funcionarios,1687710
2010,02000,050000,1600,131100,Seguridad social,524373
2010,02000,050000,1702,131100,Horas extraordinarias,7090
2010,02000,050000,2020,131100,Arrendamiento de edificios y otras construcciones,11779
2010,02000,050000,2160,131100,Reparación y mantenimiento de equipos y programas,3500
2010,02000,050000,2200,131100,Material de oficina,7000
2010,02000,050000,2202,131100,"Prensa, revistas, libros y otras publicaciones",3600
2010,02000,050000,2261,131100,Atenciones protocolarias y representativas,1400
2010,02000,050000,2262,131100,Publicidad y actividades divulgativas,8000
2010,02000,050000,2266,131100,"Reuniones, conferencias y cursillos",3000
2010,02000,050000,2269,131100,Otros gastos diversos,1500
2010,02000,050000,2271,131100,Servicios de limpieza y aseo,1000
2010,02000,050000,2273,131100,Servicios informáticos,32115
2010,02000,050000,2276,131100,Asistencia técnica de 2º nivel,30828
2010,02000,050000,2276,131102,Estudios y trabajos técnicos,120000
2010,02000,050000,2276,131103,Plan General de Seguridad Pública de Navarra,150828
2010,02000,050000,2276,131104,"Apoyo, recogida y atención. Información sucesos",200000
2010,02000,050000,2300,131100,Dietas,300
2010,02000,050000,2301,131100,Locomoción y gastos de viaje,8000
2010,02000,050000,2330,131100,Gratificaciones a tribunales de oposición y otros,100
2010,02000,050000,4809,131100,Indemnizaciones por responsabilidad patrimonial,100
2010,02000,050000,6090,131100,Modernización de procedimientos administrativos,60000
2010,02800,050000,1230,131100,Retribuciones totales fijas de funcionarios,48800
2010,02800,050000,2276,131100,Asistencia y coordinación policías locales de Navarra. Sistema Seguridad Pública,60000
2010,02800,050000,2285,131100,Vestuario de formación de auxiliares de policía local,100
2010,02800,050000,2400,131100,Gastos de edición libros y publicaciones. Sistema Seguridad Pública,3000
2010,02800,050000,4809,131100,Becas de formación de auxiliares de policía local,100
2010,02800,050000,6060,131100,Equipos para procesos de información. Sistema Seguridad Pública,9000
2010,02800,050000,6090,131102,Asistencia y coordinación de policías locales de Navarra. Sistema Seguridad Pública,24000
2010,02900,050000,2100,131100,"Reparación, mantenimiento y conservación de otros bienes inmuebles",9000
2010,02900,050000,2120,131100,"Reparación, mantenimiento y conservación de edificios y otras construcciones",3500
2010,02900,050000,2160,131100,Reparación y mantenimiento de equipos y programas informáticos,4000
2010,02900,050000,2190,131100,Reparación y mantenimiento de otros bienes muebles,4000
2010,02900,050000,6021,131100,Obras e instalaciones,9000
2010,02900,050000,6031,131100,Instalaciones,1000
2010,02900,050000,6050,131100,Mobiliario y equipo de oficina,1000
2010,02900,050000,6050,131102,Equipamiento,100
2010,02900,050000,6054,131100,Elementos de seguridad,30000
2010,02900,050000,6060,131102,Equipos para procesos de información.,12000
2010,02930,050003,1230,921800,Retribuciones totales fijas de funcionarios,1388991
2010,02930,050003,1702,921800,Horas extraordinarias,60000
2010,02930,050003,1703,921800,Remuneración por trabajo en días festivos,40184
2010,02930,050003,2140,921800,Reparación y mantenimiento de vehículos y maquinaria,120000
2010,02930,050003,2190,921802,Otras reparaciones,12000
2010,02930,050003,2200,921800,Material de oficina,4000
2010,02930,050003,2219,921800,Suministros de consumo y reposición,2000
2010,02930,050003,2230,921800,Gastos de transportes,500
2010,02930,050003,2249,921800,Pólizas de seguros y otros riesgos,30000
2010,02930,050003,2269,921800,Otros gastos diversos,3000
2010,02930,050003,2271,921800,Servicios de limpieza y aseo,24000
2010,02930,050003,2279,921800,Asistencia técnica para el mantenimiento de vehículos,85000
2010,02930,050003,2280,921800,"Energía eléctrica, agua y gas",170000
2010,02930,050003,2281,921800,"Combustibles, lubricantes y calefacción",200000
2010,02930,050003,2283,921800,Repuestos,900
2010,02930,050003,2283,921802,Materiales de reparación y conservación,3000
2010,02930,050003,2285,921800,Vestuario,40000
2010,02930,050003,2300,921800,Dietas,7500
2010,02930,050003,2301,921800,Locomoción y gastos de viaje,62000
2010,02930,050003,6020,921800,Obras e instalaciones,6000
2010,02930,050003,6032,921800,Utillaje y herramientas,1000
2010,02930,050003,6040,921800,Vehículos para el transporte de personas,60000
2010,02930,050003,6090,469100,Sistemas de información,10000
2010,02920,050005,1230,132200,Retribuciones totales fijas de funcionarios,44841
2010,02920,050005,2262,132200,Publicidad y actividades divulgativas,35000
2010,02920,050005,2279,132200,Otros trabajos realizados por terceros,60000
2010,02920,050005,4819,132200,Convenio con la Fundación Volkswagen,105000
2010,02920,050005,6054,132200,Material técnico y educativo,36000
2010,02920,050005,6090,469100,Sistemas de información,36000
2010,02920,050005,6091,132200,Estudios y proyectos,12000
2010,02100,051000,1000,132100,Retribuciones de altos cargos,60112
2010,02100,051000,1230,132100,Retribuciones totales fijas de funcionarios,35547984
2010,02100,051000,1310,132100,Retribuciones del personal contratado temporal,1000
2010,02100,051000,1600,132100,Seguridad social,7472169
2010,02100,051000,1620,224100,Abonos de primas de pólizas de seguros,58000
2010,02100,051000,1700,132100,Indemnización por traslado forzoso,1
2010,02100,051000,1702,132100,Horas extraordinarias,1450000
2010,02100,051000,1703,132100,Remuneración por trabajo en días festivos,1600000
2010,02100,051000,1704,132100,Complemento por realización de guardias,1
2010,02100,051000,1705,132100,Complemento por trabajo en turnos de noche,900000
2010,02100,051000,2020,132100,Arrendamientos de edificios y otras construcciones,29076
2010,02100,051000,2040,132100,Gastos de renting de vehículos policiales,962925
2010,02100,051000,2061,132100,Servicio on line de actuación policial,105000
2010,02100,051000,2100,132100,Reparación y mantenimiento en comisarías policiales,90000
2010,02100,051000,2140,132100,Reparación y mantenimiento de vehículos y maquinaria policial,150000
2010,02100,051000,2190,132100,Reparaciones de equipamiento de seguridad vial,33000
2010,02100,051000,2190,132102,Reparaciones de equipamiento de investigación criminal,12000
2010,02100,051000,2190,132103,Reparaciones de equipamiento de transmisiones,10000
2010,02100,051000,2190,132104,Otras reparaciones de equipamiento de seguridad,20000
2010,02100,051000,2200,132100,Material de oficina,40000
2010,02100,051000,2202,132100,"Prensa, revistas, libros y otras publicaciones",3500
2010,02100,051000,2210,132100,Avituallamiento en servicios,40000
2010,02100,051000,2219,132100,Consumibles seguridad vial,14545
2010,02100,051000,2219,132102,Otros consumibles de seguridad,27275
2010,02100,051000,2219,132103,Consumibles de equipamiento técnico policial,18180
2010,02100,051000,2224,132100,Servicios de comunicaciones de datos policiales,583000
2010,02100,051000,2249,132100,Pólizas de seguros y otros riesgos,90000
2010,02100,051000,2262,132100,Publicidad y actividades divulgativas,1200
2010,02100,051000,2266,132100,"Reuniones, conferencias y cursillos",3000
2010,02100,051000,2269,132100,Otros gastos diversos,20000
2010,02100,051000,2271,132100,Servicios de limpieza y aseo,280000
2010,02100,051000,2273,132100,Servicios informáticos,174711
2010,02100,051000,2274,132100,Servicios de seguridad,950000
2010,02100,051000,2274,132102,Servicios de seguridad para protección contra la violencia de género,350000
2010,02100,051000,2279,132100,Asistencia técnica para el mantenimiento de vehículos,80285
2010,02100,051000,2279,132102,Medios aéreos y otros servicios,864120
2010,02100,051000,2279,132103,Servicios de asistencia por terceros,50000
2010,02100,051000,2279,132104,Asistencia técnica para analíticas policiales,115000
2010,02100,051000,2279,132105,Servicios de asistencia judicial,150000
2010,02100,051000,2280,132100,"Energía eléctrica, agua y gas",140000
2010,02100,051000,2281,132100,Combustibles y lubricantes,330000
2010,02100,051000,2284,132100,Material de limpieza y aseo,12000
2010,02100,051000,2285,132100,Vestuario de reposición,365000
2010,02100,051000,2285,132102,Vestuario de nueva dotación,185000
2010,02100,051000,2289,132100,Otros suministros auxiliares,7000
2010,02100,051000,2300,132100,Dietas,50000
2010,02100,051000,2301,132100,Locomoción y gastos de viaje,180000
2010,02100,051000,6020,132100,Plan Navarra 2012-51. Nueva Comisaría de Elizondo,400000
2010,02100,051000,6020,132102,Obras en las oficinas de atención al ciudadano y dependencias de Policía Foral,120000
2010,02100,051000,6031,132100,Instalaciones,4000
2010,02100,051000,6032,132100,Utillaje y herramientas,900
2010,02100,051000,6040,132100,Vehículos policiales,60000
2010,02100,051000,6050,132100,Mobiliario y equipos de oficina,12000
2010,02100,051000,6054,132100,Material técnico,150000
2010,02100,051000,6054,132102,Elementos de seguridad,240000
2010,02100,051000,6054,132103,Equipos de transmisión,100000
2010,02100,051000,6060,132100,Equipos para procesos de información,90000
2010,02100,051000,6090,469100,Sistema de información,848918
2010,02100,051000,6091,132100,Estudios y proyectos,6000
2010,02720,054000,1000,134200,Retribuciones de altos cargos,61317
2010,02720,054000,1230,134200,Retribuciones totales fijas de funcionarios,13759672
2010,02720,054000,1311,134200,Retribuciones del personal contratado para campañas,954182
2010,02720,054000,1500,134200,Complemento de productividad,400000
2010,02720,054000,1609,134200,Cuota patronal. Montepío del Ayuntamiento de Pamplona,1062000
2010,02720,054000,1702,134200,Horas extraordinarias,533163
