2012,P0000,P01001,4450,911200,Transferencias corrientes del Gobierno de Navarra,12050532
2012,03400,040004,2269,921300,Plan de formación del vascuence en las administraciones públicas de Navarra,14188
2012,03400,040004,2269,921302,Coparticipación en programas de formación,100
2012,03400,040004,2269,921303,Coparticipación en proyectos europeos,10247
2012,03400,040004,2276,921300,Cursos de formación continua (INAP estatal),100
2012,03400,040004,2279,921300,Organización de cursos,74673
2012,03400,040004,2279,921302,Colaboración en la acreditación de conocimientos,7094
2012,03500,040005,1200,921300,Retribuciones del personal fijo,505395
2012,03500,040005,1210,921300,Retribuciones del personal contratado para cubrir plazas reservadas,1
2012,03500,040005,1211,921300,Retribuciones del personal contratado para cubrir vacantes,1
2012,03500,040005,2267,921300,Gastos diversos para la realización de pruebas. Tribunales,9458
2012,03500,040005,2276,921300,Estudios y trabajos técnicos,13442
2012,03500,040005,2301,921300,Locomoción y gastos de viaje,2655
2012,03500,040005,2330,921300,Gratificaciones a tribunales de oposición,41485
2012,03500,040005,2330,921302,Indemnizaciones por trabajos realizados,19415
2012,03500,040005,6090,469100,Sistemas de Información,2240
2012,02000,050000,1000,131100,Retribuciones de altos cargos,55303
2012,02000,050000,1200,131100,Retribuciones del personal fijo,788192
2012,02000,050000,1210,131100,Retribuciones del personal contratado para cubrir plazas reservadas,99321
2012,02000,050000,1211,131100,Retribuciones del personal contratado para cubrir vacantes,121400
2012,02000,050000,2020,131100,Arrendamiento de edificios y otras construcciones,11555
2012,02000,050000,2160,131100,Reparación y mantenimiento de equipos y programas,3887
2012,02000,050000,2190,131100,Reparación y mantenimiento de otros bienes muebles,12984
2012,02000,050000,2200,131100,Material de oficina,7856
2012,02000,050000,2202,131100,"Prensa, revistas, libros y otras publicaciones",2500
2012,02000,050000,2266,131100,"Reuniones, conferencias y cursillos",2300
2012,02000,050000,2269,131100,Otros gastos diversos,3184
2012,02000,050000,2271,131100,Servicios de limpieza y aseo,900
2012,02000,050000,2273,131100,Servicios informáticos,41350
2012,02000,050000,2273,131102,Asistencia técnica de 2º nivel,31987
2012,02000,050000,2276,131103,Plan General de Seguridad Pública de Navarra,49620
2012,02000,050000,2300,131100,Dietas,6438
2012,02000,050000,2301,131100,Locomoción y gastos de viaje,60000
2012,02000,050000,2330,131100,Gratificaciones a tribunales de oposición y otros,100
2012,02000,050000,4809,131100,Indemnizaciones por responsabilidad patrimonial,100
2012,02000,050000,6020,131100,(**) Plan Navarra 2012-47. Ciudad de la Seguridad,972803
2012,02000,050000,6020,131102,Obras e instalaciones,11578
2012,02000,050000,6060,131100,Equipos para procesos de información,16540
2012,02000,050000,6090,131100,Modernización de procedimientos administrativos,37215
2012,02800,050000,1200,131100,Retribuciones del personal fijo,40421
2012,02800,050000,1210,131100,Retribuciones del personal contratado para cubrir plazas reservadas,1
2012,02800,050000,1211,131100,Retribuciones del personal contratado para cubrir vacantes,1
2012,02800,050000,2276,131100,Asistencia y coordinación de policías locales de Navarra. Sistema Seguridad Pública,25223
2012,02800,050000,6090,131100,Asistencia y coordinación de policías locales de Navarra. Sistema Seguridad Pública,16540
2012,02900,050000,2120,131100,"Reparación, mantenimiento y conservación de edificios y otras construcciones",9000
2012,02900,050000,6031,131100,Instalaciones,900
2012,02900,050000,6050,131100,Mobiliario y equipo de oficina,1000
2012,02900,050000,6054,131100,Elementos de seguridad,9300
2012,02930,050003,1200,921800,Retribuciones del personal fijo,970424
2012,02930,050003,1210,921800,Retribuciones del personal contratado para cubrir plazas reservadas,1
2012,02930,050003,1211,921800,Retribuciones del personal contratado para cubrir vacantes,248202
2012,02930,050003,2140,921800,Reparación y mantenimiento de vehículos y maquinaria,150000
2012,02930,050003,2219,921800,Suministros de consumo y reposición,1800
2012,02930,050003,2230,921800,Gastos de transportes,500
2012,02930,050003,2249,921800,Pólizas de seguros y otros riesgos,52984
2012,02930,050003,2271,921800,Servicios de limpieza y aseo,25400
2012,02930,050003,2279,921800,Asistencia técnica para el mantenimiento de vehículos,85000
2012,02930,050003,2280,921800,"Energía eléctrica, agua y gas",203000
2012,02930,050003,2281,921800,"Combustibles, lubricantes y calefacción",180000
2012,02930,050003,2283,921800,Repuestos,3700
2012,02930,050003,2285,921800,Vestuario,34000
2012,02930,050003,6032,921800,Utillaje y herramientas,1000
2012,02930,050003,6040,921800,Vehículos para el transporte de personas,40000
2012,02930,050003,6090,469100,Sistemas de información,5500
2012,02930,050005,1200,132200,Retribuciones del personal fijo,19838
2012,02930,050005,1210,132200,Retribuciones del personal contratado para cubrir plazas reservadas,1
2012,02930,050005,1211,132200,Retribuciones del personal contratado para cubrir vacantes,1
2012,02930,050005,2262,132200,Publicidad y actividades divulgativas,9000
2012,02930,050005,2279,132200,Otros trabajos realizados por terceros,5000
2012,02930,050005,4819,132200,Convenio con la Fundación Volkswagen,157500
2012,02930,050005,6054,132200,Material técnico y educativo,20000
2012,02930,050005,6090,469100,Sistemas de información,18000
2012,02100,051000,1000,132100,Retribuciones de altos cargos,55303
2012,02100,051000,1200,132100,Retribuciones del personal fijo,31458666
2012,02100,051000,1400,132100,Retribuciones personales,3358140
2012,02100,051000,1600,132100,Seguridad social,7369002
2012,02100,051000,1620,224100,Abonos de primas de pólizas de seguros,110000
2012,02100,051000,1702,132100,Horas extraordinarias,994558
2012,02100,051000,1703,132100,Remuneración por trabajo en días festivos,1735038
2012,02100,051000,1705,132100,Complemento por trabajo en turnos de noche,972281
2012,02100,051000,2020,132100,Arrendamientos de edificios y otras construcciones,4832
2012,02100,051000,2040,132100,Gastos de renting de vehículos policiales,940701
2012,02100,051000,2100,132100,Reparación y mantenimiento en comisarías policiales,115000
2012,02100,051000,2140,132100,Reparación y mantenimiento de vehículos y maquinaria policial,500000
2012,02100,051000,2190,132100,Reparaciones de equipamiento,149000
2012,02100,051000,2200,132100,Material de oficina,65000
2012,02100,051000,2202,132100,"Prensa, revistas, libros y otras publicaciones",3000
2012,02100,051000,2210,132100,Avituallamiento en servicios,35000
2012,02100,051000,2219,132100,Consumibles,167777
2012,02100,051000,2224,132100,Servicios de comunicaciones de datos policiales,521897
2012,02100,051000,2249,132100,Pólizas de seguros y otros riesgos,90000
2012,02100,051000,2262,132100,Publicidad y actividades divulgativas,2600
2012,02100,051000,2266,132100,"Reuniones, conferencias y cursillos",1000
2012,02100,051000,2269,132100,Gastos diversos,25500
2012,02100,051000,2271,132100,Servicios de limpieza y aseo,300000
2012,02100,051000,2273,132100,Servicios informáticos,211209
2012,02100,051000,2274,132100,Servicios de seguridad,561922
2012,02100,051000,2274,132102,Servicios de seguridad para protección contra la violencia de género,100
2012,02100,051000,2279,132100,Asistencia técnica para el mantenimiento de vehículos,81716
2012,02100,051000,2279,132102,Medios aéreos y otros servicios,521936
2012,02100,051000,2279,132103,Servicios de asistencia por terceros,40000
2012,02100,051000,2279,132104,Asistencia técnica para analíticas policiales,207423
2012,02100,051000,2279,132105,Servicios de asistencia judicial,90000
2012,02100,051000,2280,132100,"Energía eléctrica, agua y gas",204792
2012,02100,051000,2281,132100,Combustibles y lubricantes,772000
2012,02100,051000,2284,132100,Material de limpieza y aseo,20000
2012,02100,051000,2285,132100,Vestuario,660233
2012,02100,051000,2289,132100,Otros suministros auxiliares,18540
2012,02100,051000,2300,132100,Dietas,61500
2012,02100,051000,2301,132100,Locomoción y gastos de viaje,200000
2012,02100,051000,6020,132100,Plan Navarra 2012-51. Nueva Comisaría de Elizondo,405000
2012,02100,051000,6020,132102,Obras en las oficinas de atención al ciudadano y dependencias de Policía Foral,165000
2012,02100,051000,6031,132100,Instalaciones,15000
2012,02100,051000,6032,132100,Utillaje y herramientas,7318
2012,02100,051000,6040,132100,Vehículos policiales,256860
2012,02100,051000,6050,132100,Mobiliario y equipos de oficina,74562
2012,02100,051000,6054,132100,Material técnico,100000
2012,02100,051000,6054,132102,Elementos de seguridad,90731
2012,02100,051000,6054,132103,Equipos de transmisión,70629
2012,02100,051000,6060,132100,Equipos para procesos de información,22300
2012,02100,051000,6090,469100,Sistema de información,200001
2012,02720,054000,1000,134200,Retribuciones de altos cargos,50500
2012,02720,054000,1200,134200,Retribuciones del personal fijo,11278709
2012,02720,054000,1210,134200,Retribuciones del personal contratado para cubrir plazas reservadas,1
2012,02720,054000,1211,134200,Retribuciones del personal contratado para cubrir vacantes,1
2012,02720,054000,1221,134200,Retribuciones del personal temporal contratado para campañas,1003740
2012,02720,054000,2061,134200,Arrendamiento de programas y licencias,8840
2012,02720,054000,2120,134200,Reparación y mantenimiento de edificios y otras construcciones,90000
2012,02720,054000,2140,134200,Reparación y mantenimiento de vehículos,290000
2012,02720,054000,2160,134200,Reparación y mantenimiento de equipos y programas,95000
2012,02720,054000,2219,134200,Suministros especiales de consumo y reposición,143000
2012,02720,054000,2241,134200,Primas de seguros de vehículos,80000
2012,02720,054000,2273,134200,Servicios informáticos,22500
2012,02720,054000,2279,134200,Otros trabajos realizados por terceros,22000
2012,02720,054000,2280,134200,"Energía eléctrica, agua y gas",140000
2012,02720,054000,2281,134200,"Combustibles, lubricantes y calefacción",265000
2012,02720,054000,2285,134200,Vestuario y equipamiento de bomberos,110000
2012,02720,054000,2289,134200,Suministros y servicios en atención de intervenciones,18000
2012,02720,054000,6021,134200,Obras en parques de bomberos,245033
2012,02720,054000,6031,134200,Adecuación de instalaciones a la planificación,20000
2012,02720,054000,6032,134200,"Utillaje, herramientas y material instrumental",27000
2012,02720,054000,6040,134200,Vehículos,340000
2012,02720,054000,6050,134200,Mobiliario de parques de bomberos,4000
2012,02720,054000,6054,134200,Material técnico,60000
2012,02720,054000,6054,134203,Equipos de protección individual,90000
2012,02710,054001,1000,134100,Retribuciones de altos cargos,50500
2012,02710,054001,1200,134100,Retribuciones del personal fijo,1355768
2012,02710,054001,1210,134100,Retribuciones del personal contratado para cubrir plazas reservadas,153794
2012,02710,054001,1211,134100,Retribuciones del personal contratado para cubrir vacantes,39246
2012,02710,054001,2120,134100,Reparación y mantenimiento de edificios y otras construcciones,30000
2012,02710,054001,2190,134100,Reparación y mantenimiento de equipos e instalaciones,50000
2012,02710,054001,2273,134100,Gestión de nivel de servicio del sistema Positrón,425000
2012,02710,054001,2273,134102,Soporte de 2º nivel (CAU). Positrón,193812
2012,02710,054001,2279,134100,Asistencia técnica de actividades clasificadas,100
2012,02710,054001,2279,134102,Traslado de cadáveres por disposición judicial,60000
2012,02710,054001,2280,134100,"Energía eléctrica, agua y gas",80000
2012,02710,054001,4609,134100,"Convenio para bomberos voluntarios, socorros y emergencias",130000
2012,02710,054001,4819,134100,Convenio y programas con entidades sin ánimo de lucro,341357
