#año,area,politica,grupo,programa,descripcion
2011,3,1,3,1,Oferta y uso racional de medicamentos y productos sanitarios
2011,3,1,3,2,Salud pública y sanidad exterior
2011,3,1,3,4,"Terapias avanzadas, medicina regenerativa y trasplantes"
2011,3,1,3,9,Otras acciones públicas de protección de la salud
2011,3,2,1,1,Dirección y servicios generales de educación
2011,3,2,1,2,Formación permanente del profesorado de Educación
2011,3,2,2,0,Dirección y servicios generales de enseñanza
2011,3,2,2,1,Educación infantil
2011,3,2,2,2,Educación secundaria
2011,3,2,2,3,Enseñanzas universitarias
2011,3,2,2,4,Educación especial
2011,3,2,2,5,Enseñanzas artísticas
2011,3,2,2,7,Educación compensatoria y de adultos
2011,3,2,2,9,"Otras enseñanzas (idiomas, especiales y otros)"
2011,3,2,2,A,Nuevas tecnologías aplicadas a la educación
2011,3,2,2,C,Bachillerato
2011,3,2,2,D,Educación primaria
2011,3,2,2,E,Formación profesional
2011,3,2,3,1,Becas y ayudas a estudiantes
2011,3,2,4,1,Servicios complementarios de la enseñanza
2011,3,2,4,2,Apoyo a otras actividades educativas
2011,3,2,5,1,"Construcción, equipamiento y material didáctico"
2011,3,3,1,1,Dirección y servicios generales de cultura
2011,3,3,2,1,Archivos
2011,3,3,2,2,Bibliotecas
2011,3,3,3,1,Museos
2011,3,3,4,1,Promoción y cooperación cultural
2011,3,3,4,2,Promoción del libro y publicaciones culturales
2011,3,3,5,1,Música y danza
2011,3,3,5,2,"Teatro, cinematografía y otras artes escénicas"
2011,3,3,6,1,Fomento y apoyo de las actividades deportivas
2011,3,3,7,1,"Administración, conservación y restauración del patrimonio histórico"
2011,3,3,7,4,Arqueología
2011,4,1,1,1,"Dirección y servicios generales de agricultura, ganadería y alimentación"
2011,4,1,2,1,"Competitividad, calidad y defensa de la producción agrícola"
2011,4,1,2,2,"Competitividad, calidad y defensa de la producción ganadera"
2011,4,1,2,3,Regulación de los mercados agrarios
2011,4,1,3,1,Competitividad de la industria agroalimentaria y calidad alimentaria
2011,4,1,4,1,Gestión de los recursos hídricos para el regadío
2011,4,1,4,2,Desarrollo sostenible del medio rural
2011,4,1,4,3,Reordenación de la propiedad y concentración parcelaria
2011,4,2,1,1,Dirección y servicios generales de industria y energía
2011,4,2,1,3,"Calidad, competitividad y seguridad industrial"
2011,4,2,2,2,Desarrollo industrial
2011,4,2,2,3,Reconversión y reindustrialización de empresas
2011,4,2,5,,Ordenación y eficiencia energética
2011,4,2,5,2,Incentivos sobre medidas energéticas
2011,4,3,1,3,Ordenación y promoción del comercio exterior
2011,4,3,1,4,Ordenación y modernización de las estructuras comerciales
2011,4,3,2,1,Coordinación y promoción del turismo
2011,4,3,2,3,Promoción hotelera y de complejos turísticos
2011,4,3,3,1,Apoyo a la pequeña y mediana empresa
2011,4,4,1,1,Subvenciones y apoyo al transporte terrestre
2011,4,5,1,1,Estudios y servicios de asistencia técnica en obras públicas
2011,4,5,1,2,Dirección y servicios generales de obras públicas
2011,4,5,1,3,Dirección y servicios generales de medio ambiente
2011,4,5,1,4,Dirección y servicios generales del transporte
2011,4,5,2,1,Gestión e infraestructuras de recursos hidráulicos
2011,4,5,3,1,Infraestructura del transporte ferroviario
2011,4,5,3,2,Creación de infraestructura de carreteras
2011,4,5,3,3,Conservación y explotación de carreteras
2011,4,5,3,4,Ordenación e inspección del transporte terrestre
2011,4,5,6,1,Calidad del agua
2011,4,5,6,2,Protección y mejora del medio ambiente
2011,4,5,6,3,Protección y mejora del medio natural
2011,4,5,6,5,Prevención y extinción de incendios
2011,4,5,6,6,Creación y mejora de comunales y pastos
2011,4,5,6,7,Conservación y mejora de masas forestales
2011,4,5,8,1,Infraestructura industrial
2011,4,5,9,1,Electrificación y alumbrado
2011,4,5,A,2,Creación y conservación de caminos rurales
2011,4,5,B,1,Otros servicios del bienestar comunitario
2011,4,6,5,1,Investigación sanitaria
2011,4,6,7,3,Investigación y desarrollo tecnológico-industrial
2011,4,6,7,7,Investigación y desarrollo de la sociedad de la información
2011,4,6,7,9,Innovación tecnológica de las telecomunicaciones
2011,4,6,8,1,Estudios técnicos en el sector agrario
2011,4,6,9,,Otras Innovaciones Tecnológicas
2011,4,6,9,1,Otras Innovaciones Tecnológicas
2011,4,9,1,1,"Ordenación, administración y promoción de las telecomunicaciones y de la sociedad de la información"
2011,4,9,1,3,Mantenimiento y ampliación de la red telefónica y radiotelefónica
2011,4,9,2,3,Protección y promoción de los derechos de los consumidores y usuarios
2011,4,9,3,3,Regulación contable y de auditorías
2011,4,9,4,1,Administración de las relaciones laborales y condiciones de trabajo
2011,4,9,5,1,Desarrollo y aplicación de la información geográfica
2011,4,9,5,3,Metrología
2011,9,1,1,2,Actividad legislativa
2011,9,1,1,3,Control externo del sector público
2011,9,1,2,1,Gobierno de Navarra
2011,9,1,2,2,Alto asesoramiento de la Comunidad Foral de Navarra
2011,9,1,2,3,Relaciones con el Parlamento
2011,9,2,1,1,"Dirección, organización y servicios generales de la Administración Pública"
2011,9,2,1,3,"Selección, formación, promoción y representación del personal"
2011,9,2,1,4,"Administración, gestión y control de personal"
2011,9,2,1,5,Cobertura informativa
2011,9,2,1,6,Edición y confección de boletines oficiales
2011,9,2,1,7,Asesoramiento y defensa
2011,9,2,1,8,"Conservación y mantenimiento de vehículos, maquinaria, instalaciones y otros"
2011,9,2,1,9,Impresos y publicaciones
2011,9,2,1,A,Tramitación y resolución de recursos administrativos
2011,9,2,1,B,Coordinación de servicios generales
2011,9,2,2,1,Dirección y servicios generales de Política Territorial
2011,9,2,2,2,Coordinación y relaciones financieras con entidades locales
2011,9,2,2,3,Régimen jurídico y de personal de la administración local
2011,9,2,2,4,Apoyos en aspectos técnico-económicos
2011,9,2,3,1,Gestión del patrimonio
2011,9,2,3,3,Elaboración y difusión estadística
2011,9,2,3,4,Dirección y servicios generales de economía y hacienda
2011,9,2,3,7,Gestión de tesorería
2011,9,2,3,8,Gestión de compras y suministros
2011,9,2,3,9,Servicios de apoyo a economía y hacienda
2011,9,3,1,1,Previsión y política económica
2011,9,3,1,2,Política presupuestaria
2011,9,3,1,4,Control interno y contabilidad pública
2011,9,3,1,5,Política financiera y de créditos
2011,9,3,2,1,Aplicación del sistema tributario
2011,9,3,2,2,Gestión del catastro inmobiliario
2011,9,3,2,3,Resolución de reclamaciones económico-administrativas
2011,9,3,2,4,Inspección fiscal
2011,9,4,1,1,Convenio económico con el Estado
2011,9,4,2,2,Transferencias a entidades locales por participación en ingresos del Estado
2011,9,4,2,3,Otras transferencias
2011,9,4,2,4,Transferencias a entidades locales para cooperar en obras y servicios
2011,9,4,2,5,Apoyo a entidades locales para saneamiento financiero
2011,9,5,1,1,Amortización y gastos financieros de la deuda pública en moneda nacional
